step,location,loss,attack_loss,loss_true,loss_imp,loss_thresh,loss_rank,tv,true_sim,soft_impostor_sim,max_impostor_sim,gap_true_minus_impostor,frac_imp_over_threshold,frac_misrank,grad_norm
0,right_cheek,0.20235058665275574,0.20235058665275574,0.49996116757392883,-0.2825239300727844,0.0,0.26743727922439575,0.13504044711589813,0.49996116757392883,0.2825239300727844,0.16885799169540405,0.33110320568084717,0.4375,0.0,6.485469202743843e-05
10,right_cheek,0.17128601670265198,0.17128601670265198,0.4823790192604065,-0.28115734457969666,0.0,0.2512216866016388,0.23140066862106323,0.4823790192604065,0.28115734457969666,0.17606204748153687,0.30631697177886963,0.59375,0.0,4.613499186234549e-05
20,right_cheek,0.1548500657081604,0.1548500657081604,0.4738249182701111,-0.2809549868106842,0.0,0.24293512105941772,0.2848644256591797,0.4738249182701111,0.2809549868106842,0.1666627824306488,0.30716216564178467,0.53125,0.0,5.256744407233782e-05
30,right_cheek,0.19898927211761475,0.19898927211761475,0.4950818121433258,-0.2809174656867981,0.0,0.26574239134788513,0.3170483112335205,0.4950818121433258,0.2809174656867981,0.1611541211605072,0.3339276611804962,0.53125,0.0,4.190321851638146e-05
40,right_cheek,0.09652119874954224,0.09652119874954224,0.4476957321166992,-0.28304022550582886,0.0,0.21490591764450073,0.34504175186157227,0.4476957321166992,0.28304022550582886,0.18146571516990662,0.266230046749115,0.625,0.0,4.2265855881851166e-05
50,right_cheek,0.15659846365451813,0.15659846365451813,0.47797536849975586,-0.283117413520813,0.0,0.24485792219638824,0.3669518828392029,0.47797536849975586,0.283117413520813,0.1720937043428421,0.30588164925575256,0.625,0.0,4.461664502741769e-05
60,right_cheek,0.2066400945186615,0.2066400945186615,0.4956035912036896,-0.2786768078804016,0.0,0.26839011907577515,0.3829665780067444,0.4956035912036896,0.2786768078804016,0.16562187671661377,0.3299817144870758,0.53125,0.03125,4.4983615225646645e-05
70,right_cheek,0.19581493735313416,0.19581493735313416,0.4949229657649994,-0.2813572287559509,0.0,0.2636064291000366,0.40248674154281616,0.4949229657649994,0.2813572287559509,0.17182713747024536,0.3230958580970764,0.5625,0.0,6.0842197854071856e-05
80,right_cheek,0.10540983080863953,0.10540983080863953,0.45376551151275635,-0.28434234857559204,0.0,0.22032901644706726,0.41771411895751953,0.45376551151275635,0.28434234857559204,0.17060208320617676,0.28316348791122437,0.53125,0.0,5.661938484990969e-05
90,right_cheek,0.11545124650001526,0.11545124650001526,0.46407580375671387,-0.2880015969276428,0.0,0.22737863659858704,0.4378320276737213,0.46407580375671387,0.2880015969276428,0.1807193160057068,0.2833564877510071,0.65625,0.03125,5.2358653192641214e-05
100,right_cheek,0.1731312870979309,0.1731312870979309,0.48275598883628845,-0.2811090350151062,0.0,0.25259336829185486,0.45096492767333984,0.48275598883628845,0.2811090350151062,0.17326146364212036,0.3094945549964905,0.4375,0.0,5.095151936984621e-05
110,right_cheek,0.11885464191436768,0.11885464191436768,0.45158255100250244,-0.2789652943611145,0.0,0.22520267963409424,0.4658741354942322,0.45158255100250244,0.2789652943611145,0.16713044047355652,0.2844521105289459,0.53125,0.03125,5.187700662645511e-05
120,right_cheek,0.15027248859405518,0.15027248859405518,0.47310513257980347,-0.2819792628288269,0.0,0.24112588167190552,0.476601243019104,0.47310513257980347,0.2819792628288269,0.1703200340270996,0.30278509855270386,0.5,0.0,5.840662197442725e-05
130,right_cheek,0.14463526010513306,0.14463526010513306,0.4666456878185272,-0.2805030345916748,0.0,0.23899564146995544,0.4860039949417114,0.4666456878185272,0.2805030345916748,0.1694098562002182,0.2972358167171478,0.5,0.0,7.172405457822606e-05
140,right_cheek,0.19540590047836304,0.19540590047836304,0.49646055698394775,-0.2831486463546753,0.0,0.26524263620376587,0.4921110272407532,0.49646055698394775,0.2831486463546753,0.1767503321170807,0.31971025466918945,0.65625,0.0,5.065702134743333e-05
150,right_cheek,0.13952749967575073,0.13952749967575073,0.46306437253952026,-0.27897918224334717,0.0,0.2344214916229248,0.4954935610294342,0.46306437253952026,0.27897918224334717,0.1713256984949112,0.2917386591434479,0.53125,0.0,6.352574564516544e-05
