step,location,loss,attack_loss,loss_true,loss_imp,loss_thresh,loss_rank,tv,true_sim,soft_impostor_sim,max_impostor_sim,gap_true_minus_impostor,frac_imp_over_threshold,frac_misrank,grad_norm
0,chin,0.12570875883102417,0.12570875883102417,0.46004313230514526,-0.2826031446456909,0.0,0.23087191581726074,0.13504044711589813,0.46004313230514526,0.2826031446456909,0.1683807373046875,0.29166239500045776,0.59375,0.0,0.00010195551294600591
10,chin,0.13350926339626312,0.13350926339626312,0.4626980423927307,-0.28125083446502686,0.0,0.23331288993358612,0.24717745184898376,0.4626980423927307,0.28125083446502686,0.16632021963596344,0.29637783765792847,0.53125,0.03125,6.658378697466105e-05
20,chin,0.2466341257095337,0.2466341257095337,0.5110069513320923,-0.2758129835128784,0.0,0.28725314140319824,0.30176055431365967,0.5110069513320923,0.2758129835128784,0.15795275568962097,0.3530541956424713,0.40625,0.03125,5.8989902754547074e-05
30,chin,0.20363759994506836,0.20363759994506836,0.49081578850746155,-0.2767904996871948,0.0,0.26640281081199646,0.3344038724899292,0.49081578850746155,0.2767904996871948,0.16278591752052307,0.3280298709869385,0.34375,0.0,6.934473640285432e-05
40,chin,0.05339410901069641,0.05339410901069641,0.42142850160598755,-0.27987176179885864,0.0,0.19170913100242615,0.357535719871521,0.42142850160598755,0.27987176179885864,0.16544410586357117,0.25598442554473877,0.53125,0.0,7.15684363967739e-05
50,chin,0.04531194269657135,0.04531194269657135,0.4227229058742523,-0.284266859292984,0.0,0.19112275540828705,0.3788679540157318,0.4227229058742523,0.284266859292984,0.1771899312734604,0.24553298950195312,0.65625,0.03125,9.109220991376787e-05
60,chin,0.1586514711380005,0.1586514711380005,0.4844924211502075,-0.287233829498291,0.0,0.248626708984375,0.396950364112854,0.4844924211502075,0.287233829498291,0.1797879934310913,0.3047044277191162,0.625,0.0,9.212655277224258e-05
70,chin,0.04731065034866333,0.04731065034866333,0.419366717338562,-0.28175896406173706,0.0,0.19146186113357544,0.4161745607852936,0.419366717338562,0.28175896406173706,0.16699928045272827,0.25236743688583374,0.4375,0.03125,9.276880155084655e-05
80,chin,0.03062058985233307,0.03062058985233307,0.4094262421131134,-0.28086188435554504,0.0,0.18291811645030975,0.4303945302963257,0.4094262421131134,0.28086188435554504,0.1638842523097992,0.2455420047044754,0.40625,0.03125,0.00010422134073451161
90,chin,0.08616352081298828,0.08616352081298828,0.4374710023403168,-0.2814428210258484,0.0,0.2115781605243683,0.44018223881721497,0.4374710023403168,0.2814428210258484,0.17225472629070282,0.26521629095077515,0.625,0.0625,8.204539335565642e-05
