step,location,patch_size_ratio,patch_size_px,loss,attack_loss,loss_true,loss_imp,loss_thresh,loss_rank,tv,true_sim,soft_impostor_sim,max_impostor_sim,gap_true_minus_impostor,frac_imp_over_threshold,frac_misrank,grad_norm
0,chin,0.3,34,0.18244603276252747,0.18244603276252747,0.4953344464302063,-0.28638756275177,0.0,0.2598867118358612,0.13504044711589813,0.4953344464302063,0.28638756275177,0.18264243006706238,0.3126920461654663,0.65625,0.0,9.525127825327218e-05
10,chin,0.3,34,0.1480475664138794,0.1480475664138794,0.47252222895622253,-0.28233230113983154,0.0,0.24018993973731995,0.2430407702922821,0.47252222895622253,0.28233230113983154,0.17057839035987854,0.301943838596344,0.59375,0.0,7.004429789958522e-05
20,chin,0.3,34,0.129214808344841,0.129214808344841,0.46057814359664917,-0.2806471586227417,0.0,0.22993098199367523,0.2913588285446167,0.46057814359664917,0.2806471586227417,0.1655593365430832,0.2950187921524048,0.5,0.0,8.054113277466968e-05
30,chin,0.3,34,0.17614519596099854,0.17614519596099854,0.4901798963546753,-0.2854507565498352,0.0,0.25686681270599365,0.3282669484615326,0.4901798963546753,0.2854507565498352,0.1776130348443985,0.312566876411438,0.5625,0.0,0.0001271499932045117
40,chin,0.3,34,0.07432487607002258,0.07432487607002258,0.43359318375587463,-0.28217193484306335,0.0,0.20507556200027466,0.3498755097389221,0.43359318375587463,0.28217193484306335,0.17211875319480896,0.2614744305610657,0.59375,0.03125,0.00012622971553355455
50,chin,0.3,34,0.15724843740463257,0.15724843740463257,0.4697608947753906,-0.27780693769454956,0.0,0.24310141801834106,0.37933623790740967,0.4697608947753906,0.27780693769454956,0.163120299577713,0.3066405653953552,0.5625,0.0,7.896133320173249e-05
60,chin,0.3,34,0.09167732298374176,0.09167732298374176,0.449371874332428,-0.2867029905319214,0.0,0.21571142971515656,0.4013926386833191,0.449371874332428,0.2867029905319214,0.1807173490524292,0.2686545252799988,0.6875,0.0,9.824612061493099e-05
70,chin,0.3,34,0.05358231067657471,0.05358231067657471,0.4124687910079956,-0.27485421299934387,0.0,0.19082194566726685,0.4205608367919922,0.4124687910079956,0.27485421299934387,0.15052784979343414,0.26194092631340027,0.28125,0.03125,9.607696119928733e-05
80,chin,0.3,34,0.06994825601577759,0.06994825601577759,0.41949862241744995,-0.2778118848800659,0.0,0.20607340335845947,0.43393784761428833,0.41949862241744995,0.2778118848800659,0.16221633553504944,0.2572822868824005,0.4375,0.125,8.419124787906185e-05
90,chin,0.3,34,0.07105597853660583,0.07105597853660583,0.4283970892429352,-0.2795599699020386,0.0,0.2017788290977478,0.4451654553413391,0.4283970892429352,0.2795599699020386,0.16680368781089783,0.26159340143203735,0.46875,0.03125,8.8720211351756e-05
100,chin,0.3,34,-0.019983842968940735,-0.019983842968940735,0.3844340145587921,-0.28372785449028015,0.0,0.16303785145282745,0.45826101303100586,0.3844340145587921,0.28372785449028015,0.16814874112606049,0.21628525853157043,0.53125,0.0625,8.477466326439753e-05
110,chin,0.3,34,0.003553032875061035,0.003553032875061035,0.3939066529273987,-0.2801268994808197,0.0,0.16990017890930176,0.4704042077064514,0.3939066529273987,0.2801268994808197,0.16075000166893005,0.23315665125846863,0.4375,0.0625,9.365002188133076e-05
120,chin,0.3,34,-0.018897324800491333,-0.018897324800491333,0.38678303360939026,-0.2819099426269531,0.0,0.15813952684402466,0.477124959230423,0.38678303360939026,0.2819099426269531,0.16634944081306458,0.22043359279632568,0.59375,0.0,9.373933426104486e-05
130,chin,0.3,34,0.025583848357200623,0.025583848357200623,0.4066254794597626,-0.2821473777294159,0.0,0.18325312435626984,0.48826128244400024,0.4066254794597626,0.2821473777294159,0.1764025241136551,0.23022300004959106,0.5625,0.0625,0.00010058929910883307
140,chin,0.3,34,-0.009696334600448608,-0.009696334600448608,0.3812595009803772,-0.27873069047927856,0.0,0.16650554537773132,0.4924793243408203,0.3812595009803772,0.27873069047927856,0.16399529576301575,0.21726420521736145,0.5,0.15625,9.099683666136116e-05
150,chin,0.3,34,0.02239622175693512,0.02239622175693512,0.4027767777442932,-0.2820265293121338,0.0,0.18367250263690948,0.4994603991508484,0.4027767777442932,0.2820265293121338,0.17008261382579803,0.23269414901733398,0.59375,0.0,9.852326184045523e-05
160,chin,0.3,34,-0.05156472325325012,-0.05156472325325012,0.3706793189048767,-0.2837621867656708,0.0,0.14528033137321472,0.5060930848121643,0.3706793189048767,0.2837621867656708,0.17403705418109894,0.19664230942726135,0.5625,0.0625,0.00010111647134181112
170,chin,0.3,34,-0.08196382224559784,-0.08196382224559784,0.34923502802848816,-0.2819889783859253,0.0,0.1327791064977646,0.5100283026695251,0.34923502802848816,0.2819889783859253,0.1582881361246109,0.19094690680503845,0.46875,0.09375,9.191914432449266e-05
180,chin,0.3,34,-0.022654056549072266,-0.022654056549072266,0.3830408751964569,-0.2816477417945862,0.0,0.1576005518436432,0.5126631259918213,0.3830408751964569,0.2816477417945862,0.176437646150589,0.20660322904586792,0.78125,0.09375,8.929201430873945e-05
