step,loss,attack_loss,loss_true,loss_imp,loss_thresh,loss_rank,tv,true_sim,soft_impostor_sim,max_impostor_sim,gap_true_minus_impostor,frac_imp_over_threshold,frac_misrank,grad_norm
180,-0.1084190160036087,-0.1084190160036087,0.3455836772918701,-0.2897726893424988,0.0,0.12554268538951874,0.5341336727142334,0.3455836772918701,0.2897726893424988,0.18586021661758423,0.15972349047660828,0.6875,0.125,0.0001921831426443532
190,-0.13020338118076324,-0.13020338118076324,0.33427345752716064,-0.28805112838745117,0.0,0.11162541806697845,0.5369071960449219,0.33427345752716064,0.28805112838745117,0.18085959553718567,0.15341386198997498,0.65625,0.15625,0.0001943209208548069
200,-0.07380083203315735,-0.07380083203315735,0.3691011071205139,-0.2904757857322693,0.0,0.1380496323108673,0.5363790988922119,0.3691011071205139,0.2904757857322693,0.18119242787361145,0.18790866434574127,0.6875,0.0625,0.0001757372374413535
210,-0.14447033405303955,-0.14447033405303955,0.3274344503879547,-0.29404568672180176,0.0,0.11618659645318985,0.5390567183494568,0.3274344503879547,0.29404568672180176,0.19451460242271423,0.13291986286640167,0.625,0.21875,0.00022471243573818356
220,-0.11868173629045486,-0.11868173629045486,0.34756988286972046,-0.29489368200302124,0.0,0.12353574484586716,0.5402241945266724,0.34756988286972046,0.29489368200302124,0.194986492395401,0.15258337557315826,0.71875,0.3125,0.0002592794771771878
230,-0.18713553249835968,-0.18713553249835968,0.2957379221916199,-0.28610891103744507,0.0,0.08934436738491058,0.5418540239334106,0.2957379221916199,0.28610891103744507,0.17048035562038422,0.12525758147239685,0.46875,0.1875,0.00022501518833450973
240,-0.13198637962341309,-0.13198637962341309,0.3330647051334381,-0.29163581132888794,0.0,0.11822053790092468,0.544971227645874,0.3330647051334381,0.29163581132888794,0.1872892528772354,0.1457754373550415,0.6875,0.21875,0.0002240062749478966
250,-0.20080974698066711,-0.20080974698066711,0.29789260029792786,-0.29626545310020447,0.0,0.09382856637239456,0.5450237989425659,0.29789260029792786,0.29626545310020447,0.2054857313632965,0.09240686893463135,0.9375,0.3125,0.00030515779508277774
260,-0.14321692287921906,-0.14321692287921906,0.32169151306152344,-0.2899671792984009,0.0,0.11502592265605927,0.5439244508743286,0.32169151306152344,0.2899671792984009,0.1870800256729126,0.13461151719093323,0.625,0.25,0.00021651809220202267
270,-0.17521436512470245,-0.17521436512470245,0.31091439723968506,-0.28889113664627075,0.0,0.09165351092815399,0.5459806323051453,0.31091439723968506,0.28889113664627075,0.18067510426044464,0.1302393078804016,0.65625,0.21875,0.00017455164925195277
280,-0.06490388512611389,-0.06490388512611389,0.36240679025650024,-0.2856198847293854,0.0,0.14392909407615662,0.5450258851051331,0.36240679025650024,0.2856198847293854,0.1802542805671692,0.18215253949165344,0.625,0.125,0.00015204257215373218
290,-0.19741778075695038,-0.19741778075695038,0.30343151092529297,-0.2942081093788147,0.0,0.08756692707538605,0.5428910851478577,0.30343151092529297,0.2942081093788147,0.1924666315317154,0.11096489429473877,0.78125,0.21875,0.0003144075453747064
300,-0.16485822200775146,-0.16485822200775146,0.3039693832397461,-0.2878846526145935,0.0,0.10694169998168945,0.5448911190032959,0.3039693832397461,0.2878846526145935,0.1814788579940796,0.1224905475974083,0.625,0.25,0.00017565653251949698
310,-0.22632700204849243,-0.22632700204849243,0.28169023990631104,-0.2937944531440735,0.0,0.0795716643333435,0.5465781092643738,0.28169023990631104,0.2937944531440735,0.19412502646446228,0.08756520599126816,0.75,0.21875,0.00018210220150649548
320,-0.23589766025543213,-0.23589766025543213,0.28338685631752014,-0.2947489023208618,0.0,0.07021328806877136,0.5460996627807617,0.28338685631752014,0.2947489023208618,0.19277402758598328,0.09061282128095627,0.71875,0.21875,0.00015110106323845685
330,-0.1100427508354187,-0.1100427508354187,0.3349909782409668,-0.29034101963043213,0.0,0.13564831018447876,0.5478463172912598,0.3349909782409668,0.29034101963043213,0.19334977865219116,0.14164119958877563,0.75,0.25,0.00015063521277625114
340,-0.245187446475029,-0.245187446475029,0.2730342745780945,-0.2951940596103668,0.0,0.07216639816761017,0.5490625500679016,0.2730342745780945,0.2951940596103668,0.1990731805562973,0.07396109402179718,0.78125,0.25,0.00021152447152417153
350,-0.21151384711265564,-0.21151384711265564,0.2766234874725342,-0.28511232137680054,0.0,0.08208731561899185,0.5496343374252319,0.2766234874725342,0.28511232137680054,0.17754527926445007,0.0990782305598259,0.65625,0.34375,0.00015773638733662665
360,-0.25657758116722107,-0.25657758116722107,0.264251708984375,-0.2925302982330322,0.0,0.06423129886388779,0.549359142780304,0.264251708984375,0.2925302982330322,0.1873418688774109,0.0769098550081253,0.75,0.28125,0.0001374869025312364
370,-0.14161691069602966,-0.14161691069602966,0.32967185974121094,-0.2883889675140381,0.0,0.10548916459083557,0.5499206781387329,0.32967185974121094,0.2883889675140381,0.18079186975955963,0.1488799899816513,0.59375,0.09375,0.0001952490711119026
380,-0.25776150822639465,-0.25776150822639465,0.26537325978279114,-0.2929452359676361,0.0,0.06275569647550583,0.5499831438064575,0.26537325978279114,0.2929452359676361,0.1888417750597,0.07653148472309113,0.71875,0.25,0.00017905744607560337
390,-0.23341691493988037,-0.23341691493988037,0.2699980139732361,-0.28909751772880554,0.0,0.07478011399507523,0.5504378080368042,0.2699980139732361,0.28909751772880554,0.18273839354515076,0.08725962787866592,0.6875,0.28125,0.00017948885215446353
