step,loss,attack_loss,loss_true,loss_imp,loss_thresh,loss_rank,tv,true_sim,soft_impostor_sim,max_impostor_sim,gap_true_minus_impostor,frac_imp_over_threshold,frac_misrank,grad_norm
510,-0.32844895124435425,-0.32844895124435425,0.2110363394021988,-0.2888629138469696,0.0,0.03824056684970856,0.5372835993766785,0.2110363394021988,0.2888629138469696,0.18356627225875854,0.027470074594020844,0.5625,0.5,0.000145585261634551
520,-0.2702595889568329,-0.2702595889568329,0.24141892790794373,-0.2865610122680664,0.0,0.061443500220775604,0.5401647090911865,0.24141892790794373,0.2865610122680664,0.1746128499507904,0.06680607795715332,0.5,0.28125,0.0001451335265301168
530,-0.33138763904571533,-0.33138763904571533,0.19847743213176727,-0.2868298292160034,0.0,0.04379456117749214,0.5407919883728027,0.19847743213176727,0.2868298292160034,0.17821887135505676,0.020258571952581406,0.59375,0.4375,0.00017531994672026485
540,-0.38260596990585327,-0.38260596990585327,0.17114096879959106,-0.28805825114250183,0.0,0.02236957848072052,0.540045976638794,0.17114096879959106,0.28805825114250183,0.1892072856426239,-0.01806631311774254,0.59375,0.59375,0.00017610601207707077
550,-0.2985161542892456,-0.2985161542892456,0.22089558839797974,-0.2905374765396118,0.0,0.06166321784257889,0.5446091890335083,0.22089558839797974,0.2905374765396118,0.18672922253608704,0.0341663733124733,0.6666666865348816,0.46666669845581055,0.00015020485443528742
560,-0.32302772998809814,-0.32302772998809814,0.21620506048202515,-0.2901693284511566,0.0,0.04110587015748024,0.5461938381195068,0.21620506048202515,0.2901693284511566,0.18865996599197388,0.02754509262740612,0.65625,0.46875,0.00022337597329169512
570,-0.31213563680648804,-0.31213563680648804,0.22105063498020172,-0.2872442603111267,0.0,0.04130225256085396,0.546546459197998,0.22105063498020172,0.2872442603111267,0.17600804567337036,0.045042604207992554,0.5625,0.34375,0.00016039269394241273
580,-0.2996496856212616,-0.2996496856212616,0.22919397056102753,-0.28769415616989136,0.0,0.0465446300804615,0.5469516515731812,0.22919397056102753,0.28769415616989136,0.18309269845485687,0.04610127955675125,0.65625,0.34375,0.00017366098472848535
590,-0.3216771185398102,-0.3216771185398102,0.20942336320877075,-0.28552812337875366,0.0,0.03995576500892639,0.5463553667068481,0.20942336320877075,0.28552812337875366,0.1734912395477295,0.03593212366104126,0.53125,0.40625,0.00012924574548378587
600,-0.30351904034614563,-0.30351904034614563,0.22219707071781158,-0.2857237756252289,0.0,0.04573146253824234,0.5467166900634766,0.22219707071781158,0.2857237756252289,0.17765562236309052,0.04454145208001137,0.53125,0.40625,0.0001314336113864556
610,-0.2972300052642822,-0.2972300052642822,0.21838024258613586,-0.28283584117889404,0.0,0.050061438232660294,0.5484375953674316,0.21838024258613586,0.28283584117889404,0.17371593415737152,0.04466430842876434,0.53125,0.4375,0.00013119436334818602
620,-0.2348923683166504,-0.2348923683166504,0.2615623474121094,-0.28704702854156494,0.0,0.07763934135437012,0.5499131679534912,0.2615623474121094,0.28704702854156494,0.1791001260280609,0.08246224373579025,0.5,0.28125,0.00015368129243142903
630,-0.24138087034225464,-0.24138087034225464,0.26970174908638,-0.29318714141845703,0.0,0.07529166340827942,0.54984450340271,0.26970174908638,0.29318714141845703,0.19021940231323242,0.07948234677314758,0.71875,0.3125,0.00013346814375836402
640,-0.3549521565437317,-0.3549521565437317,0.17605818808078766,-0.28321799635887146,0.0,0.03542567044496536,0.5499844551086426,0.17605818808078766,0.28321799635887146,0.17672555148601532,-0.0006673685275018215,0.4375,0.5625,0.0001312516542384401
650,-0.3212421238422394,-0.3212421238422394,0.21253085136413574,-0.28715571761131287,0.0,0.04053845256567001,0.55125892162323,0.21253085136413574,0.28715571761131287,0.17886078357696533,0.03367006778717041,0.53125,0.40625,0.00013612282054964453
