n,rank1_acc,correct_accept_rate,false_reject_rate,misid_rate,misaccept_rate,avg_top1_sim,avg_true_sim,threshold,model_short_name,model_name,condition,placement,location,patch_size_ratio,patch_size_px,avg_similarity_drop
614,1.0,1.0,0.0,0.0,0.0,0.4947192072868347,0.4947192072868347,0.16163350641727448,adaface_ir101_wf12m,minchul/cvlface_adaface_ir101_webface12m,normal_mascot_sticker,landmark_relative,right_under_eye,0.15,17,0.003908729077550409
614,0.996742671009772,0.996742671009772,0.0,0.003257328990228013,0.003257328990228013,0.4752882122993469,0.47518807649612427,0.16163350641727448,adaface_ir101_wf12m,minchul/cvlface_adaface_ir101_webface12m,adversarial_mascot_sticker,landmark_relative,right_under_eye,0.15,17,0.02343985617937405
614,0.998371335504886,0.998371335504886,0.0,0.0016286644951140066,0.0016286644951140066,0.49223411083221436,0.4922315776348114,0.16163350641727448,adaface_ir101_wf12m,minchul/cvlface_adaface_ir101_webface12m,normal_mascot_sticker,landmark_relative,right_under_eye,0.2,22,0.006396340552098588
614,0.99185667752443,0.99185667752443,0.0,0.008143322475570033,0.008143322475570033,0.45907607674598694,0.4588201940059662,0.16163350641727448,adaface_ir101_wf12m,minchul/cvlface_adaface_ir101_webface12m,adversarial_mascot_sticker,landmark_relative,right_under_eye,0.2,22,0.03980770864878881
614,0.998371335504886,0.998371335504886,0.0,0.0016286644951140066,0.0016286644951140066,0.48731333017349243,0.4873029887676239,0.16163350641727448,adaface_ir101_wf12m,minchul/cvlface_adaface_ir101_webface12m,normal_mascot_sticker,landmark_relative,right_under_eye,0.25,28,0.011324888161999395
614,0.9837133550488599,0.9820846905537459,0.003257328990228013,0.016286644951140065,0.014657980456026058,0.4338964819908142,0.43349578976631165,0.16163350641727448,adaface_ir101_wf12m,minchul/cvlface_adaface_ir101_webface12m,adversarial_mascot_sticker,landmark_relative,right_under_eye,0.25,28,0.0651321260907751
614,1.0,1.0,0.0,0.0,0.0,0.48138436675071716,0.48138436675071716,0.16163350641727448,adaface_ir101_wf12m,minchul/cvlface_adaface_ir101_webface12m,normal_mascot_sticker,landmark_relative,right_under_eye,0.3,34,0.01724354631543548
614,0.9364820846905537,0.9332247557003257,0.016286644951140065,0.06351791530944625,0.050488599348534204,0.3748030364513397,0.37044745683670044,0.16163350641727448,adaface_ir101_wf12m,minchul/cvlface_adaface_ir101_webface12m,adversarial_mascot_sticker,landmark_relative,right_under_eye,0.3,34,0.12818046000328048
614,1.0,1.0,0.0,0.0,0.0,0.47369512915611267,0.47369512915611267,0.16163350641727448,adaface_ir101_wf12m,minchul/cvlface_adaface_ir101_webface12m,normal_mascot_sticker,landmark_relative,right_under_eye,0.35,39,0.0249327425799463
614,0.7980456026058632,0.7899022801302932,0.050488599348534204,0.20195439739413681,0.15960912052117263,0.31344375014305115,0.29870715737342834,0.16163350641727448,adaface_ir101_wf12m,minchul/cvlface_adaface_ir101_webface12m,adversarial_mascot_sticker,landmark_relative,right_under_eye,0.35,39,0.19992075655882396
