n,rank1_acc,correct_accept_rate,false_reject_rate,misid_rate,misaccept_rate,avg_top1_sim,avg_true_sim,threshold,model_short_name,model_name,condition,placement,location,patch_size_ratio,patch_size_px,avg_similarity_drop,run_tag
614,0.998371335504886,0.998371335504886,0.0,0.0016286644951140066,0.0016286644951140066,0.4924512803554535,0.492428719997406,0.16163350641727448,adaface_ir101_wf12m,minchul/cvlface_adaface_ir101_webface12m,normal_mascot_sticker,landmark_relative,nose_bridge,0.15,17,0.006199215663178347,run_20260615_141704
614,0.993485342019544,0.993485342019544,0.0,0.006514657980456026,0.006514657980456026,0.4594225585460663,0.4591560959815979,0.16163350641727448,adaface_ir101_wf12m,minchul/cvlface_adaface_ir101_webface12m,adversarial_mascot_sticker,landmark_relative,nose_bridge,0.15,17,0.03947182096759349,run_20260615_141704
614,0.996742671009772,0.996742671009772,0.0,0.003257328990228013,0.003257328990228013,0.48689380288124084,0.4868347942829132,0.16163350641727448,adaface_ir101_wf12m,minchul/cvlface_adaface_ir101_webface12m,normal_mascot_sticker,landmark_relative,nose_bridge,0.2,22,0.011793119826806097,run_20260615_141704
614,0.9771986970684039,0.9739413680781759,0.004885993485342019,0.02280130293159609,0.021172638436482084,0.4178934097290039,0.4167703688144684,0.16163350641727448,adaface_ir101_wf12m,minchul/cvlface_adaface_ir101_webface12m,adversarial_mascot_sticker,landmark_relative,nose_bridge,0.2,22,0.08185757069275124,run_20260615_141704
614,0.998371335504886,0.998371335504886,0.0,0.0016286644951140066,0.0016286644951140066,0.47784623503685,0.4778445363044739,0.16163350641727448,adaface_ir101_wf12m,minchul/cvlface_adaface_ir101_webface12m,normal_mascot_sticker,landmark_relative,nose_bridge,0.25,28,0.020783378145011317,run_20260615_141704
614,0.9429967426710097,0.9413680781758957,0.006514657980456026,0.057003257328990226,0.05211726384364821,0.3728601932525635,0.36875832080841064,0.16163350641727448,adaface_ir101_wf12m,minchul/cvlface_adaface_ir101_webface12m,adversarial_mascot_sticker,landmark_relative,nose_bridge,0.25,28,0.12986958956388386,run_20260615_141704
614,0.995114006514658,0.995114006514658,0.0,0.004885993485342019,0.004885993485342019,0.466622531414032,0.4665200412273407,0.16163350641727448,adaface_ir101_wf12m,minchul/cvlface_adaface_ir101_webface12m,normal_mascot_sticker,landmark_relative,nose_bridge,0.3,34,0.03210783859029267,run_20260615_141704
614,0.8045602605863192,0.7931596091205212,0.05537459283387622,0.19543973941368079,0.15146579804560262,0.31676211953163147,0.30240562558174133,0.16163350641727448,adaface_ir101_wf12m,minchul/cvlface_adaface_ir101_webface12m,adversarial_mascot_sticker,landmark_relative,nose_bridge,0.3,34,0.19622229592091972,run_20260615_141704
614,0.990228013029316,0.990228013029316,0.0,0.009771986970684038,0.009771986970684038,0.4551100432872772,0.4548095762729645,0.16163350641727448,adaface_ir101_wf12m,minchul/cvlface_adaface_ir101_webface12m,normal_mascot_sticker,landmark_relative,nose_bridge,0.35,39,0.04381835106335556,run_20260615_141704
614,0.4234527687296417,0.4169381107491857,0.03257328990228013,0.5765472312703583,0.5504885993485342,0.2851581871509552,0.2069934904575348,0.16163350641727448,adaface_ir101_wf12m,minchul/cvlface_adaface_ir101_webface12m,adversarial_mascot_sticker,landmark_relative,nose_bridge,0.35,39,0.2916344278454113,run_20260615_141704
