step,location,patch_size_ratio,patch_size_px,loss,attack_loss,preserve_loss,delta_tv,loss_true,loss_imp,loss_thresh,loss_rank,true_sim,soft_impostor_sim,max_impostor_sim,gap_true_minus_impostor,frac_imp_over_threshold,frac_misrank,grad_norm,eps_norm
0,nose_bridge,0.35,39,0.06734801828861237,0.06734801828861237,0.0,0.0,0.44221603870391846,-0.2899293601512909,0.0,0.2049906998872757,0.44221603870391846,0.2899293601512909,0.19071269035339355,0.2515033483505249,0.8125,0.0,0.00014204684703145176,0.5
10,nose_bridge,0.35,39,0.09563164412975311,0.09118759632110596,0.029529575258493423,0.1491091251373291,0.44854971766471863,-0.2853039503097534,0.0,0.21324577927589417,0.44854971766471863,0.2853039503097534,0.1748707890510559,0.2736789584159851,0.53125,0.0,0.00011571209324756637,0.5
20,nose_bridge,0.35,39,0.051601070910692215,0.0453161895275116,0.045147720724344254,0.17701098322868347,0.4243372082710266,-0.2856709659099579,0.0,0.19232091307640076,0.4243372082710266,0.2856709659099579,0.18090809881687164,0.24342909455299377,0.65625,0.03125,7.707694749115035e-05,0.5
30,nose_bridge,0.35,39,0.08744864910840988,0.0805717259645462,0.050901852548122406,0.17867395281791687,0.4381667375564575,-0.2824312150478363,0.0,0.2072674185037613,0.4381667375564575,0.2824312150478363,0.17049705982208252,0.267669677734375,0.5,0.0,0.00010756173287518322,0.5
40,nose_bridge,0.35,39,-0.03345731645822525,-0.04111441969871521,0.05857515707612038,0.17995856702327728,0.3783901333808899,-0.2839600145816803,0.0,0.1484154760837555,0.3783901333808899,0.2839600145816803,0.1718304455280304,0.2065596878528595,0.5625,0.0625,0.00010808272782014683,0.5
50,nose_bridge,0.35,39,0.07084233313798904,0.06221167743206024,0.06815079599618912,0.18155823647975922,0.43350300192832947,-0.28565311431884766,0.0,0.2000149041414261,0.43350300192832947,0.28565311431884766,0.1747927963733673,0.25871020555496216,0.5,0.0,0.0001382645423291251,0.5
60,nose_bridge,0.35,39,-0.015789974480867386,-0.024939358234405518,0.07346727699041367,0.18026559054851532,0.38638362288475037,-0.28526943922042847,0.0,0.15921589732170105,0.38638362288475037,0.28526943922042847,0.17575997114181519,0.21062365174293518,0.65625,0.0625,0.0001405787916155532,0.5
70,nose_bridge,0.35,39,0.03163806349039078,0.02181495726108551,0.07979082316160202,0.18440234661102295,0.4187498092651367,-0.28856155276298523,0.0,0.18018825352191925,0.4187498092651367,0.28856155276298523,0.18210002779960632,0.2366497963666916,0.59375,0.0,0.00021765621204394847,0.5
80,nose_bridge,0.35,39,0.06384319067001343,0.05342377722263336,0.08544086664915085,0.18753260374069214,0.42751044034957886,-0.2847635746002197,0.0,0.19544048607349396,0.42751044034957886,0.2847635746002197,0.176802858710289,0.25070759654045105,0.59375,0.03125,0.00014975733938626945,0.5
90,nose_bridge,0.35,39,0.02037334255874157,0.009518131613731384,0.0896596908569336,0.1889241486787796,0.4091252088546753,-0.2875795364379883,0.0,0.17555199563503265,0.4091252088546753,0.2875795364379883,0.18386223912239075,0.22526295483112335,0.65625,0.03125,0.00016707087343093008,0.5
100,nose_bridge,0.35,39,0.025182945653796196,0.01402631402015686,0.09276823699474335,0.1879807412624359,0.4132384657859802,-0.2878234088420868,0.0,0.17643466591835022,0.4132384657859802,0.2878234088420868,0.17871615290641785,0.23452229797840118,0.625,0.03125,0.000159517876454629,0.5
110,nose_bridge,0.35,39,-0.05913280323147774,-0.07076966762542725,0.09740210324525833,0.18966542184352875,0.3601446747779846,-0.28381720185279846,0.0,0.13672006130218506,0.3601446747779846,0.28381720185279846,0.17089004814624786,0.18925461173057556,0.5,0.0625,0.00014433353499043733,0.5
120,nose_bridge,0.35,39,0.031756725162267685,0.019752860069274902,0.1011132076382637,0.18925458192825317,0.4091813564300537,-0.2842423617839813,0.0,0.17905622720718384,0.4091813564300537,0.2842423617839813,0.17101654410362244,0.23816482722759247,0.59375,0.03125,0.00020269904052838683,0.5
130,nose_bridge,0.35,39,-0.04402739554643631,-0.056303471326828,0.10367100685834885,0.19089728593826294,0.3747725486755371,-0.28675001859664917,0.0,0.14242401719093323,0.3747725486755371,0.28675001859664917,0.1702003926038742,0.2045721411705017,0.5,0.03125,0.00018635108426678926,0.5
